    0.5417	    1.1108     0.3524
    0.5425	    1.0280     0.3700
    0.5565	    1.2063     0.1997
    0.5597	    0.9338     0.1821
    0.5677	    1.3025     0.1522
    0.5720	    0.8390     0.1527
    0.5781	    1.3965     0.1150
    0.5846	    0.7443     0.1119
    0.5877	    1.4903     0.1197
    0.5956	    1.5858     0.0883
    0.5964	    0.6504     0.1128
    0.6055	    1.6807     0.0691
    0.6074	    0.5559     0.0815
    0.6048	    1.0695     0.4480
    0.6078	    1.1561     0.3170
    0.6097	    0.9849     0.3242
    0.6137	    1.7757     0.0636
    0.6186	    0.4617     0.0837
    0.6176	    1.2489     0.2181
    0.6197	    0.8923     0.2163
    0.6260	    1.3448     0.1598
    0.6280	    0.3657     0.0842
    0.6314	    0.7983     0.1600
    0.6352	    1.4394     0.1286
    0.6429	    0.7033     0.1220
    0.6437	    1.5337     0.1088
    0.6514	    1.6285     0.0870
    0.6532	    0.6089     0.1212
    0.6600	    1.7231     0.0758
    0.6640	    0.5147     0.0923
    0.6685	    1.0290     0.4252
    0.6680	    1.1128     0.4179
    0.6732	    0.4196     0.0877
    0.6712	    1.2008     0.3131
    0.6736	    0.9419     0.3290
    0.6777	    1.2933     0.2228
    0.6812	    0.8483     0.2256
    0.6852	    1.3875     0.1700
    0.6910	    0.7550     0.1696
    0.6922	    1.4817     0.1375
    0.6994	    1.5763     0.1158
    0.7002	    0.6611     0.1383
    0.7061	    1.6719     0.0907
    0.7099	    0.5665     0.1134
    0.7139	    1.7662     0.0670
    0.7196	    0.4723     0.0898
    0.7286	    0.3775     0.0783
    0.7308	    1.1573     0.3886
    0.7309	    1.0716     0.4450
    0.7323	    0.9864     0.3869
    0.7331	    1.2463     0.3070
    0.7356	    0.8970     0.3104
    0.7376	    1.3379     0.2416
    0.7421	    0.8055     0.2486
    0.7430	    1.4322     0.1951
    0.7493	    1.5257     0.1526
    0.7498	    0.7121     0.1917
    0.7541	    1.6208     0.1084
    0.7582	    0.6189     0.1663
    0.7598	    1.7158     0.0820
    0.7668	    0.5241     0.1259
    0.7745	    0.4296     0.1129
    0.7928	    1.2019     0.3731
    0.7927	    1.1150     0.4236
    0.7944	    1.2925     0.3085
    0.7953	    0.9429     0.3609
    0.7936	    1.0292     0.4240
    0.7969	    1.3843     0.2598
    0.7981	    0.8528     0.3101
    0.8010	    1.4768     0.1901
    0.8033	    0.7618     0.2417
    0.8051	    1.5708     0.1522
    0.8092	    0.6693     0.1960
    0.8090	    1.6653     0.1275
    0.8138	    1.7599     0.1003
    0.8160	    0.5760     0.1564
    0.8236	    0.4819     0.1355
    0.8301	    0.3871     0.1144
    0.8542	    1.2473     0.3486
    0.8548	    1.3381     0.3000
    0.8562	    1.4297     0.2405
    0.8553	    1.0727     0.4085
    0.8550	    1.1593     0.3946
    0.8570	    0.8976     0.3567
    0.8563	    0.9859     0.3905
    0.8587	    1.5230     0.2055
    0.8595	    0.8086     0.3061
    0.8611	    1.6162     0.1736
    0.8639	    0.7180     0.2495
    0.8643	    1.7106     0.1374
    0.8682	    0.6255     0.2200
    0.8746	    0.5324     0.1808
    0.8798	    0.4377     0.1455
    0.9141	    1.3839     0.3008
    0.9146	    1.4761     0.2403
    0.9145	    1.2942     0.3351
    0.9159	    1.5688     0.2099
    0.9157	    1.2053     0.3683
    0.9172	    1.6627     0.1631
    0.9167	    1.1175     0.3771
    0.9174	    1.0301     0.3991
    0.9194	    1.7564     0.1493
    0.9187	    0.8540     0.3470
    0.9183	    0.9426     0.3756
    0.9209	    0.7643     0.2983
    0.9236	    0.6734     0.2655
    0.9273	    0.5815     0.2257
    0.9318	    0.4883     0.1947
    0.9359	    0.3934     0.1577
    0.9726	    1.4313     0.2822
    0.9724	    1.5235     0.2434
    0.9728	    1.6155     0.2206
    0.9732	    1.7087     0.1935
    0.9740	    1.3406     0.3192
    0.9756	    1.2509     0.3372
    0.9775	    1.1628     0.3725
    0.9791	    0.8977     0.3581
    0.9786	    1.0746     0.3748
    0.9796	    0.8095     0.3504
    0.9792	    0.9866     0.3733
    0.9808	    0.7197     0.3061
    0.9830	    0.6289     0.2650
    0.9859	    0.5366     0.2429
    0.9889	    0.4424     0.2002
    1.0300	    1.6628     0.2413
    1.0297	    1.7556     0.2163
    1.0301	    1.5706     0.2688
    1.0310	    1.4793     0.2824
    1.0330	    1.3889     0.3128
    1.0355	    1.2987     0.3324
    1.0373	    1.2083     0.3475
    1.0389	    1.1194     0.3646
    1.0411	    0.6745     0.3026
    1.0406	    0.7642     0.3279
    1.0402	    0.8529     0.3441
    1.0401	    0.9413     0.3465
    1.0398	    1.0300     0.3615
    1.0427	    0.5823     0.2694
    1.0445	    0.4904     0.2369
    1.0467	    0.3981     0.2243
    1.0867	    1.7085     0.2520
    1.0876	    1.6174     0.2654
    1.0892	    1.5266     0.2908
    1.0907	    1.4358     0.3096
    1.0942	    1.3451     0.3258
    1.0959	    1.2554     0.3126
    1.0983	    1.1660     0.3296
    1.1008	    0.6293     0.2920
    1.0997	    1.0761     0.3412
    1.1006	    0.7183     0.3320
    1.1008	    0.8082     0.3297
    1.1009	    0.8963     0.3536
    1.1005	    0.9867     0.3378
    1.1023	    0.4451     0.2552
    1.1020	    0.5378     0.2892
    1.1456	    1.7561     0.2754
    1.1462	    1.6640     0.2935
    1.1476	    1.5736     0.2869
    1.1494	    1.4831     0.3086
    1.1520	    1.3934     0.3134
    1.1554	    1.3032     0.3176
    1.1572	    1.2129     0.3141
    1.1591	    1.1217     0.3163
    1.1606	    0.5829     0.3006
    1.1611	    0.4009     0.2823
    1.1610	    0.4929     0.2938
