#def pos x y xi
0.9958	 1.1779	0.2210
1.0038	 1.0164	0.1673
1.0032	 1.3392	0.2013
1.0112	 0.8575	0.0555
1.0136	 1.4992	0.1396
1.0155	 0.7005	0.0351
1.0228	 1.6568	0.0915
1.0484	 1.0972	0.1913
1.0489	 1.2572	0.2045
1.0530	 0.9373	0.1349
1.0556	 1.4173	0.1513
1.0581	 0.6213	0.0824
1.0581	 0.7792	0.1132
1.0629	 1.5762	0.1132
1.0688	 1.7333	0.0806
1.0974	 1.0175	0.1607
1.0968	 1.1770	0.1868
1.0993	 0.8586	0.1222
1.0997	 1.3366	0.1655
1.1000	 0.7002	0.0977
1.1050	 1.4958	0.1335
1.1101	 1.6535	0.1087
1.1449	 0.9378	0.1402
1.1445	 1.0968	0.1609
1.1448	 0.6203	0.1201
1.1456	 0.7792	0.1168
1.1458	 1.2561	0.1659
1.1488	 1.4152	0.1398
1.1527	 1.5738	0.1244
1.1558	 1.7315	0.1004
1.1899	 0.6997	0.1265
1.1909	 0.8584	0.1335
1.1911	 1.0173	0.1509
1.1919	 1.1763	0.1552
1.1939	 1.3353	0.1471
1.1965	 1.4939	0.1344
1.1991	 1.6521	0.1204
1.2359	 0.6193	0.1428
1.2371	 0.7785	0.1515
1.2378	 0.9375	0.1471
1.2382	 1.0964	0.1551
1.2395	 1.2553	0.1499
1.2412	 1.4142	0.1402
1.2434	 1.5726	0.1349
1.2450	 1.7309	0.1258
1.2831	 0.6990	0.1527
1.2839	 0.8579	0.1495
1.2844	 1.0168	0.1529
1.2854	 1.1757	0.1535
1.2868	 1.3345	0.1464
1.2884	 1.4931	0.1355
1.2898	 1.6514	0.1350
1.3304	 0.7780	0.1514
1.3309	 0.9371	0.1514
1.3299	 0.6183	0.1708
1.3315	 1.0959	0.1509
1.3324	 1.2547	0.1490
1.3336	 1.4135	0.1422
1.3349	 1.5721	0.1380
1.3359	 1.7306	0.1350
1.3767	 0.6984	0.1539
1.3773	 0.8575	0.1507
1.3777	 1.0164	0.1485
1.3782	 1.1752	0.1439
1.3792	 1.3340	0.1372
1.3805	 1.4927	0.1342
1.3813	 1.6511	0.1337
1.4233	 0.6182	0.1532
1.4237	 0.7777	0.1481
1.4239	 0.9367	0.1469
1.4241	 1.0955	0.1455
1.4248	 1.2543	0.1408
1.4257	 1.4131	0.1375
1.4265	 1.5716	0.1271
1.4274	 1.7302	0.1345
1.4698	 0.6982	0.1470
1.4701	 0.8572	0.1468
1.4702	 1.0161	0.1440
1.4708	 1.1749	0.1407
1.4714	 1.3337	0.1357
1.4721	 1.4922	0.1339
1.4727	 1.6506	0.1315
1.5160	 0.6182	0.1473
1.5164	 0.7774	0.1435
1.5162	 0.9364	0.1408
1.5164	 1.0953	0.1442
1.5167	 1.2541	0.1377
1.5173	 1.4127	0.1312
1.5178	 1.5711	0.1344
1.5184	 1.7294	0.1219
1.5622	 0.6980	0.1408
1.5622	 0.8570	0.1406
1.5623	 1.0159	0.1407
1.5625	 1.1747	0.1385
1.5629	 1.3334	0.1350
1.5632	 1.4919	0.1312
1.5634	 1.6501	0.1269
1.6079	 0.6183	0.1357
1.6083	 0.7774	0.1359
1.6081	 0.9362	0.1382
1.6082	 1.0951	0.1384
1.6085	 1.2539	0.1340
1.6086	 1.4126	0.1303
1.6085	 1.5710	0.1279
1.6082	 1.7291	0.1107
1.6540	 1.4919	0.1277
1.6534	 1.6502	0.1205
1.6540	 0.6979	0.1393
1.6539	 0.8569	0.1376
1.6541	 1.0158	0.1359
