    0.4639	        1.7961		    0.2391
    0.4357	        1.5232		    0.4344
    0.4651	        1.0504		    0.5890
    0.4667	        0.9304		    0.5626
    0.4683	        1.1703		    0.5683
    0.4389	        0.4679		    0.3477
    0.4721	        0.8123		    0.5193
    0.4737	        1.8990		    0.1475
    0.4748	        1.2886		    0.5290
    0.4796	        0.6961		    0.4615
    0.4473	        1.6347		    0.3621
    0.4472	        0.3603		    0.2729
    0.4832	        1.4051		    0.4699
    0.4868	        0.5827		    0.4050
    0.4537	        0.2552		    0.2164
    0.4653	        0.9901		    0.5866
    0.4658	        1.1101		    0.5920
    0.4946	        0.4716		    0.3472
    0.4932	        1.5190		    0.4156
    0.4588	        1.7435		    0.2821
    0.4694	        0.8709		    0.5384
    0.4709	        1.2299		    0.5552
    0.5012	        0.3633		    0.2902
    0.5028	        1.6301		    0.3489
    0.4758	        0.7535		    0.4896
    0.5070	        0.2575		    0.2377
    0.4696	        1.8485		    0.1938
    0.4787	        1.3473		    0.5061
    0.5132	        1.7383		    0.2822
    0.4830	        0.6386		    0.4324
    0.4879	        1.4625		    0.4410
    0.4907	        0.5267		    0.3727
    0.5235	        1.8432		    0.2120
    0.5257	        0.9906		    0.5566
    0.5265	        1.1096		    0.5543
    0.5288	        0.8726		    0.5216
    0.4979	        1.5747		    0.3847
    0.4980	        0.4168		    0.3145
    0.5306	        1.2279		    0.5266
    0.5341	        0.7561		    0.4767
    0.5373	        1.3444		    0.4821
    0.5043	        0.3100		    0.2660
    0.5402	        0.6417		    0.4267
    0.5079	        1.6847		    0.3136
    0.5088	        0.2050		    0.2103
    0.5458	        0.5297		    0.3751
    0.5451	        1.4590		    0.4320
    0.5254	        1.0497		    0.5652
    0.5525	        0.4199		    0.3240
    0.5267	        0.9312		    0.5434
    0.5533	        1.5710		    0.3718
    0.5177	        1.7913		    0.2445
    0.5279	        1.1686		    0.5459
    0.5574	        0.3125		    0.2793
    0.5310	        0.8139		    0.4987
    0.5615	        0.2071		    0.2357
    0.5336	        1.2864		    0.5068
    0.5619	        1.6805		    0.3132
    0.5268	        1.8949		    0.1691
    0.5368	        0.6980		    0.4482
    0.5699	        1.7874		    0.2539
    0.5409	        1.4022		    0.4557
    0.5430	        0.5849		    0.3952
    0.5779	        1.8918		    0.1997
    0.5493	        1.5152		    0.4019
    0.5494	        0.4741		    0.3421
    0.5858	        1.0491		    0.5340
    0.5862	        0.9313		    0.5175
    0.5880	        1.1671		    0.5218
    0.5551	        0.3661		    0.2952
    0.5899	        0.8149		    0.4921
    0.5578	        1.6256		    0.3470
    0.5925	        1.2837		    0.4828
    0.5945	        0.7000		    0.4418
    0.5595	        0.2599		    0.2464
    0.5985	        1.3988		    0.4427
    0.5998	        0.5873		    0.3976
    0.5665	        1.7341		    0.2791
    0.6050	        0.4765		    0.3442
    0.5668	        1.5135		    0.4185
    0.6092	        0.3677		    0.3033
    0.6076	        1.5118		    0.3975
    0.5745	        1.8392		    0.2272
    0.6133	        0.2609		    0.2679
    0.5857	        0.9898		    0.5212
    0.5864	        1.1079		    0.5253
    0.6137	        1.6225		    0.3398
    0.5881	        0.8727		    0.4968
    0.5900	        1.2257		    0.5011
    0.6214	        1.7310		    0.2864
    0.5924	        0.7569		    0.4532
    0.5956	        1.3418		    0.4545
    0.6277	        1.8370		    0.2371
    0.5973	        0.6430		    0.4115
    0.6025	        1.4553		    0.4103
    0.6026	        0.5316		    0.3602
    0.6075	        0.4217		    0.3163
    0.6099	        1.5670		    0.3555
    0.6452	        0.9900		    0.5116
    0.6117	        0.3142		    0.2747
    0.6461	        1.1072		    0.5057
    0.6469	        0.8736		    0.4881
    0.6489	        1.2237		    0.4897
    0.6144	        0.2079		    0.2415
    0.6496	        0.7584		    0.4550
    0.6172	        1.6765		    0.3011
    0.6541	        0.6450		    0.4177
    0.6537	        1.3390		    0.4580
    0.6583	        0.5334		    0.3733
    0.6592	        1.4527		    0.4121
    0.6242	        1.7828		    0.2523
    0.6622	        0.4235		    0.3307
    0.6658	        0.3153		    0.2984
    0.6656	        1.5643		    0.3680
    0.6672	        0.2086		    0.2706
    0.6302	        1.8875		    0.2010
    0.6713	        1.6740		    0.3191
    0.6453	        1.0485		    0.5075
    0.6459	        0.9317		    0.4993
    0.6473	        1.1660		    0.4973
    0.6771	        1.7815		    0.2734
