#def config x y xi
0.6621	    1.1820		0.3791
0.6736	    1.3460		0.3324
0.6749	    1.0188		0.3204
0.6836	    1.5090		0.2818
0.6898	    0.8568		0.1618
0.6907	    1.6710		0.2494
0.6999	    0.6968		0.0976
0.7249	    1.1020		0.3865
0.7253	    1.2628		0.3847
0.7335	    1.4258		0.3207
0.7347	    0.9394		0.2831
0.7402	    1.5885		0.2869
0.7444	    0.7781		0.2109
0.7445	    1.7505		0.2611
0.7478	    0.6174		0.1526
0.7831	    1.1827		0.4153
0.7855	    1.0217		0.3534
0.7861	    1.3441		0.3680
0.7904	    0.8596		0.2628
0.7914	    1.5067		0.3255
0.7933	    0.6979		0.2051
0.7957	    1.6687		0.3016
0.8430	    0.9405		0.3167
0.8418	    1.1021		0.3795
0.8438	    0.6162		0.2430
0.8445	    0.7785		0.2623
0.8426	    1.2633		0.3907
0.8454	    1.4250		0.3573
0.8489	    1.5873		0.3340
0.8513	    1.7496		0.3213
0.8959	    0.6970		0.2753
0.8977	    0.8591		0.3101
0.8986	    1.0210		0.3551
0.8997	    1.1825		0.3771
0.9015	    1.3441		0.3758
0.9038	    1.5059		0.3638
0.9060	    1.6680		0.3531
0.9494	    0.6146		0.3131
0.9517	    0.7770		0.3305
0.9543	    0.9391		0.3461
0.9562	    1.1010		0.3678
0.9580	    1.2628		0.3785
0.9600	    1.4247		0.3731
0.9618	    1.5867		0.3748
0.9632	    1.7491		0.3705
1.0060	    0.6954		0.3442
1.0091	    0.8573		0.3552
1.0117	    1.0194		0.3660
1.0142	    1.1814		0.3737
1.0164	    1.3434		0.3727
1.0185	    1.5055		0.3762
1.0200	    1.6675		0.3852
1.0612	    0.6123		0.3690
1.0643	    0.7751		0.3651
1.0673	    0.9373		0.3666
1.0700	    1.0994		0.3697
1.0725	    1.2616		0.3745
1.0747	    1.4238		0.3774
1.0766	    1.5860		0.3840
1.0782	    1.7483		0.3841
1.1194	    0.6931		0.3694
1.1228	    0.8553		0.3725
1.1257	    1.0175		0.3730
1.1284	    1.1798		0.3724
1.1308	    1.3421		0.3711
1.1332	    1.5043		0.3761
1.1351	    1.6665		0.3834
1.1751	    0.6102		0.3826
1.1784	    0.7729		0.3791
1.1816	    0.9352		0.3776
1.1842	    1.0976		0.3756
1.1868	    1.2600		0.3729
1.1893	    1.4224		0.3749
1.1915	    1.5847		0.3784
1.1935	    1.7472		0.3820
1.2341	    0.6908		0.3880
1.2375	    0.8531		0.3841
1.2402	    1.0156		0.3773
1.2428	    1.1780		0.3767
1.2454	    1.3404		0.3764
1.2477	    1.5028		0.3790
1.2500	    1.6650		0.3780
1.2905	    0.6081		0.3973
1.2937	    0.7708		0.3899
1.2964	    0.9332		0.3813
1.2990	    1.0957		0.3835
1.3013	    1.2582		0.3779
1.3038	    1.4207		0.3725
1.3062	    1.5830		0.3737
1.3082	    1.7454		0.3712
1.3500	    0.6887		0.3956
1.3527	    0.8511		0.3879
1.3551	    1.0137		0.3878
1.3575	    1.1761		0.3807
1.3597	    1.3386		0.3734
1.3622	    1.5010		0.3711
1.3643	    1.6634		0.3734
1.4065	    0.6062		0.4003
1.4092	    0.7689		0.3885
1.4115	    0.9314		0.3878
1.4138	    1.0939		0.3859
1.4160	    1.2564		0.3753
1.4182	    1.4190		0.3710
1.4202	    1.5814		0.3704
1.4220	    1.7439		0.3646
1.4660	    0.6868		0.4015
1.4682	    0.8494		0.3948
1.4702	    1.0119		0.3879
1.4722	    1.1744		0.3843
1.4741	    1.3370		0.3714
1.4761	    1.4994		0.3645
1.4778	    1.6619		0.3637
1.5231	    0.6045		0.4100
1.5254	    0.7673		0.3986
1.5272	    0.9298		0.3921
1.5288	    1.0924		0.3883
1.5304	    1.2550		0.3774
1.5322	    1.4176		0.3682
1.5337	    1.5801		0.3638
1.5348	    1.7429		0.3611
1.5825	    0.6854		0.4066
1.5841	    0.8480		0.3925
1.5856	    1.0106		0.3870
1.5869	    1.1731		0.3803
1.5883	    1.3357		0.3704
1.5897	    1.4983		0.3641
1.5910	    1.6608		0.3638
1.6404	    0.6037		0.4089
1.6417	    0.7663		0.4040
1.6428	    0.9288		0.3945
1.6439	    1.0914		0.3921
1.6449	    1.2540		0.3836
1.6461	    1.4166		0.3705
1.6472	    1.5792		0.3690
1.6482	    1.7419		0.3661
1.6993	    0.6847		0.4090
1.7001	    0.8472		0.4002
1.7008	    1.0098		0.3899
1.7014	    1.1723		0.3809
1.7025	    1.3350		0.3751
1.7035	    1.4976		0.3735
1.7043	    1.6601		0.3722
1.7575	    0.6033		0.4136
1.7582	    0.7659		0.3991
1.7584	    0.9284		0.3925
1.7587	    1.0909		0.3904
1.7593	    1.2534		0.3776
1.7602	    1.4161		0.3781
1.7612	    1.5786		0.3783
1.7620	    1.7413		0.3796
1.8159	    0.6844		0.4032
1.8162	    0.8470		0.3922
1.8162	    1.0096		0.3846
1.8164	    1.1721		0.3822
1.8169	    1.3346		0.3768
1.8179	    1.4971		0.3810
